"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,4,0,0,0,1,0,0,0,5,0,5,100,0
"Remigio","2",0,0,0,0,3,0,2,0,2,0,0,0,7,0,7,100,0
"Costa","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Souza","11",0,0,0,0,7,1,0,0,0,3,0,0,11,0,11,100,0
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Johnson","17",0,0,0,0,0,0,1,0,0,0,1,0,2,1,3,66.67,33.33
"To'oto'o","19",0,0,0,0,3,0,0,0,0,0,0,0,3,1,4,75,25
"Morikawa","20",1,0,0,0,5,0,0,0,0,0,0,0,6,1,7,85.71,14.29
"Kawashima","21",0,0,0,0,2,0,0,0,0,0,0,0,2,1,3,66.67,33.33
"Somerville","23",0,0,1,0,0,0,2,0,0,0,0,0,3,0,3,100,0
"Total","-",1,0,1,0,24,1,5,0,3,3,1,0,39,4,43,90.7,9.3
