"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,6,1,0,0,0,0,0,0,7,1,8,87.5,12.5
"Remigio","2",1,0,1,0,4,4,7,0,0,0,0,0,17,1,18,94.44,5.56
"Costa","6",0,0,0,0,4,2,0,0,0,0,0,0,6,1,7,85.71,14.29
"Souza","11",0,0,0,0,1,0,2,0,0,0,0,0,3,0,3,100,0
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
"To'oto'o","19",0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,100,0
"Morikawa","20",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,100,0
"Kawashima","21",0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,100,0
"Somerville","23",0,0,0,0,7,0,0,0,0,0,0,0,7,0,7,100,0
"Total","-",1,0,1,0,30,7,9,0,0,0,0,0,48,4,52,92.31,7.69
