"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,2,0,0,0,0,5,0,0,7,0,7,100,0
"Remigio","2",0,0,0,0,3,4,1,1,0,0,0,0,9,0,9,100,0
"Costa","6",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,100,0
"Souza","11",0,0,0,0,2,0,0,0,0,5,0,0,7,3,10,70,30
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,5,1,1,0,0,1,0,0,8,0,8,100,0
"Johnson","17",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,100,0
"To'oto'o","19",0,0,0,0,10,5,0,0,0,1,0,0,16,0,16,100,0
"Morikawa","20",0,0,0,0,1,0,3,0,0,0,0,1,5,2,7,71.43,28.57
"Kawashima","21",0,0,0,0,15,1,0,0,0,2,0,0,18,8,26,69.23,30.77
"Somerville","23",1,0,2,0,4,0,0,0,0,1,0,1,9,0,9,100,0
"Total","-",1,0,2,0,44,11,5,1,0,15,0,2,81,13,94,86.17,13.83
