"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",4,0,1,0,0,0,0,0,0,0,0,0,5,2,7,71.43,28.57
"Remigio","2",0,0,0,0,6,0,2,0,0,0,0,0,8,0,8,100,0
"Costa","6",0,0,0,0,2,0,0,1,0,0,0,0,3,0,3,100,0
"Souza","11",0,0,0,0,3,0,0,0,0,0,0,0,3,1,4,75,25
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
"To'oto'o","19",0,0,0,0,0,0,0,1,1,1,0,0,3,6,9,33.33,66.67
"Morikawa","20",0,0,0,0,16,2,0,0,0,0,0,0,18,0,18,100,0
"Kawashima","21",0,0,0,0,3,0,0,0,0,0,0,0,3,7,10,30,70
"Somerville","23",1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,50,50
"Total","-",5,0,1,0,30,2,2,2,1,1,0,0,44,19,63,69.84,30.16
