"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",1,0,0,0,0,0,0,0,0,2,0,0,3,2,5,60,40
"Remigio","2",0,0,0,0,2,1,1,0,0,0,0,0,4,2,6,66.67,33.33
"Costa","6",0,0,0,0,1,2,0,0,0,0,0,0,3,0,3,100,0
"Souza","11",0,0,0,0,2,1,4,0,0,0,0,0,7,0,7,100,0
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,100,0
"To'oto'o","19",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,100,0
"Morikawa","20",0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,100,0
"Kawashima","21",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
"Somerville","23",0,0,0,0,6,0,2,0,0,0,0,0,8,1,9,88.89,11.11
"Total","-",1,0,1,0,14,4,7,0,0,2,0,2,31,6,37,83.78,16.22
