"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,3,2,0,0,0,2,0,0,7,1,8,87.5,12.5
"Remigio","2",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,100,0
"Costa","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Souza","11",0,0,0,0,3,1,0,0,1,0,0,0,5,0,5,100,0
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,13,1,2,0,0,1,0,0,17,1,18,94.44,5.56
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"To'oto'o","19",7,0,0,0,5,0,0,0,0,0,0,0,12,1,13,92.31,7.69
"Morikawa","20",0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,100,0
"Kawashima","21",0,0,0,0,4,0,0,0,0,0,0,0,4,3,7,57.14,42.86
"Somerville","23",0,0,0,0,6,0,0,0,0,4,0,0,10,0,10,100,0
"Total","-",7,0,0,0,36,4,3,0,1,7,0,0,58,6,64,90.62,9.38
