"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,2,0,1,0,0,0,0,0,3,0,3,100,0
"Remigio","2",0,0,0,0,3,0,0,0,1,0,0,0,4,0,4,100,0
"Costa","6",0,0,0,0,3,0,1,0,0,0,0,0,4,0,4,100,0
"Souza","11",0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,33.33,66.67
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,1,0,0,0,0,0,0,0,1,3,4,25,75
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
"To'oto'o","19",0,0,0,0,2,2,0,1,0,1,0,0,6,0,6,100,0
"Morikawa","20",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,100,0
"Kawashima","21",0,0,0,0,2,0,0,0,0,0,0,0,2,3,5,40,60
"Somerville","23",0,0,0,0,3,0,1,0,0,0,0,0,4,0,4,100,0
"Total","-",0,0,0,0,18,2,3,1,1,1,0,0,26,9,35,74.29,25.71
