"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",1,0,0,0,2,0,0,0,0,0,0,0,3,8,11,27.27,72.73
"Remigio","2",0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,100,0
"Costa","6",0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,100,0
"Souza","11",0,0,0,0,3,0,0,0,0,1,0,0,4,0,4,100,0
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"To'oto'o","19",0,0,0,0,7,3,1,0,1,0,0,0,12,1,13,92.31,7.69
"Morikawa","20",0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,100,0
"Kawashima","21",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,100,0
"Somerville","23",0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,50,50
"Total","-",1,0,0,0,19,3,1,0,2,1,0,0,27,10,37,72.97,27.03
