"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,4,0,0,0,0,2,0,0,6,0,6,100,0
"Remigio","2",0,0,0,0,9,3,0,0,0,0,0,0,12,1,13,92.31,7.69
"Costa","6",0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,100,0
"Souza","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"To'oto'o","19",0,0,0,0,6,1,0,0,0,0,0,0,7,0,7,100,0
"Morikawa","20",0,0,0,0,6,0,0,0,0,1,0,0,7,0,7,100,0
"Kawashima","21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Somerville","23",0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,50,50
"Total","-",0,0,0,0,28,4,0,0,0,3,1,0,36,2,38,94.74,5.26
