"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,3,0,0,0,0,0,0,0,3,1,4,75,25
"Remigio","2",0,0,0,0,2,0,0,0,0,0,0,0,2,2,4,50,50
"Costa","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Souza","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"To'oto'o","19",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,100,0
"Morikawa","20",0,0,1,0,6,0,1,0,0,1,0,0,9,0,9,100,0
"Kawashima","21",0,0,0,0,2,0,0,0,0,0,0,0,2,6,8,25,75
"Somerville","23",0,0,0,0,2,0,6,0,0,0,0,0,8,1,9,88.89,11.11
"Total","-",0,0,1,0,16,0,7,0,0,1,0,0,25,10,35,71.43,28.57
