"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,33.33,66.67
"Remigio","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Costa","6",0,0,0,0,1,0,0,0,0,0,0,0,1,3,4,25,75
"Souza","11",0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,100,0
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Johnson","17",0,0,0,0,0,0,0,0,0,0,5,0,5,5,10,50,50
"To'oto'o","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Morikawa","20",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,100
"Kawashima","21",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,100,0
"Somerville","23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Total","-",0,0,0,0,4,1,0,0,0,1,5,0,11,14,25,44,56
