"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,3,1,0,0,0,0,0,0,4,0,4,100,0
"Remigio","2",0,0,0,0,4,5,3,0,0,0,0,0,12,0,12,100,0
"Costa","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Souza","11",0,0,0,0,8,0,0,0,0,2,0,0,10,0,10,100,0
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,100,0
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,100,0
"To'oto'o","19",0,0,0,0,3,1,0,0,0,0,0,0,4,0,4,100,0
"Morikawa","20",0,0,2,0,4,0,0,1,0,0,0,0,7,0,7,100,0
"Kawashima","21",0,0,0,0,0,0,0,0,0,1,0,0,1,6,7,14.29,85.71
"Somerville","23",0,0,0,0,0,5,0,0,0,1,0,0,6,0,6,100,0
"Total","-",0,0,2,0,25,12,3,1,0,4,0,1,48,6,54,88.89,11.11
