"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,5,0,0,0,0,0,0,0,5,9,14,35.71,64.29
"Remigio","2",0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,100,0
"Costa","6",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,100,0
"Souza","11",1,0,0,0,2,4,1,0,0,4,0,0,12,3,15,80,20
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"To'oto'o","19",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,100,0
"Morikawa","20",0,0,0,0,11,1,1,0,0,4,0,0,17,0,17,100,0
"Kawashima","21",0,0,0,0,2,0,0,0,0,1,0,0,3,3,6,50,50
"Somerville","23",0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,100,0
"Total","-",1,0,0,0,28,5,2,0,0,9,0,0,45,15,60,75,25
