"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,100,0
"Remigio","2",0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,100,0
"Costa","6",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,100,0
"Souza","11",0,0,0,0,4,0,0,0,0,0,0,0,4,5,9,44.44,55.56
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,33.33,66.67
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"To'oto'o","19",0,0,0,0,5,0,0,0,0,0,0,0,5,5,10,50,50
"Morikawa","20",0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,100,0
"Kawashima","21",0,0,0,0,1,1,0,0,0,1,0,0,3,0,3,100,0
"Somerville","23",0,0,0,0,3,3,1,0,0,1,0,0,8,1,9,88.89,11.11
"Total","-",1,0,0,0,21,5,2,0,0,2,0,0,31,13,44,70.45,29.55
