"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,7,1,0,0,0,0,0,0,8,0,8,100,0
"Remigio","2",0,0,0,0,8,0,0,0,0,0,0,0,8,0,8,100,0
"Costa","6",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,100,0
"Souza","11",6,0,0,0,1,0,0,0,0,0,0,0,7,0,7,100,0
"Viola","13",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,100,0
"Malinao","15",0,0,1,0,10,0,3,0,0,0,0,0,14,3,17,82.35,17.65
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"To'oto'o","19",0,0,0,0,10,0,0,1,4,0,0,0,15,0,15,100,0
"Morikawa","20",0,0,1,0,9,0,0,0,0,0,0,0,10,0,10,100,0
"Kawashima","21",0,0,0,0,4,0,0,0,0,2,0,0,6,4,10,60,40
"Somerville","23",0,0,0,0,2,0,1,0,0,2,1,0,6,1,7,85.71,14.29
"Total","-",6,0,2,0,52,1,5,1,4,4,1,0,76,8,84,90.48,9.52
