"Judge","Division","Revocations","Dismissals","FirstRevocation","SecondRevocation","MoreThanTwo","Total"
"Wong","1",29,0,23,6,0,29
"Remigio","2",78,0,60,11,7,78
"Costa","6",8,0,6,2,0,8
"Souza","11",20,0,14,5,1,20
"Viola","13",1,0,1,0,0,1
"Malinao","15",39,0,15,14,10,39
"Johnson","17",0,0,0,0,0,0
"To'oto'o","19",4,0,4,0,0,4
"Morikawa","20",30,0,25,5,0,30
"Kawashima","21",4,0,4,0,0,4
"Somerville","23",18,0,16,2,0,18
"Total","All Divisions",231,0,168,45,18,231
