"Judge","Division","Revocations","Dismissals","FirstRevocation","SecondRevocation","MoreThanTwo","Total"
"Wong","1",0,0,0,0,0,0
"Remigio","2",4,0,2,2,0,4
"Costa","6",3,0,3,0,0,3
"Souza","11",1,0,1,0,0,1
"Viola","13",0,0,0,0,0,0
"Malinao","15",3,0,0,1,2,3
"Johnson","17",0,0,0,0,0,0
"To'oto'o","19",0,0,0,0,0,0
"Morikawa","20",1,0,1,0,0,1
"Kawashima","21",0,0,0,0,0,0
"Somerville","23",0,0,0,0,0,0
"Total","-",12,0,7,3,2,12
